,h2(x1000),xm,time_arduino,time_python,,volt,,law,,e0(x1000),e1(x1000),,h1,h2,theta1,theta2,beta,dtheta1,dtheta2,dbeta ,,"H1, H2 x 1000"
47,20.09,20,44867,46.18600464,,0,,-12.91,,0.12,0.08,,35.04,20.12,10500,10500,1999.92,0.08,-0.05,-0.6,,ypoloipa x 1.000.000
48,20.12,20,44997,46.31913066,,0,,12.4,,0.15,-0.3,,35.24,20.15,10500,10500,1999.91,-0.12,0.07,-1.08,,
49,20.15,20.01,45127,46.44768429,,204,,34.16,,0.21,-0.67,,35.47,20.22,10500,10500,1999.84,-0.3,0.18,-7.12,,
50,20.22,20.02,45259,46.57972741,,204,,55.39,,0.27,-1.03,,35.27,20.3,10500,10500,1999.66,-0.48,0.28,-18.26,,
51,20.3,20.04,45392,46.71468472,,204,,78.62,,0.29,-1.38,,35.05,20.33,10499.99,10500.01,1999.3,-0.67,0.39,-35.64,,
52,20.33,20.06,45526,46.85012579,,204,,100.56,,0.31,-1.71,,34.69,20.37,10499.98,10500.01,1998.72,-0.84,0.5,-57.78,,
53,20.37,20.08,45660,46.98026371,,204,,118.23,,0.38,-2.03,,34.63,20.46,10499.97,10500.02,1997.92,-1,0.59,-80.39,,
54,20.46,20.1,45794,47.12006402,,204,,139.17,,0.38,-2.33,,34.43,20.49,10499.96,10500.02,1996.82,-1.16,0.69,-110.28,,
55,20.49,20.13,45929,47.25552392,,204,,154.34,,0.46,-2.62,,34.36,20.59,10499.95,10500.03,1995.45,-1.29,0.77,-137.03,,
56,20.59,20.16,46064,47.3897984,,204,,173.92,,0.46,-2.9,,34.16,20.62,10499.93,10500.04,1993.72,-1.44,0.87,-172.76,,
57,20.62,20.2,46199,47.52487755,,204,,189.56,,0.5,-3.17,,34.06,20.69,10499.91,10500.05,1991.66,-1.57,0.95,-205.83,,
58,20.69,20.23,46334,47.66005158,,204,,206.26,,0.51,-3.42,,33.88,20.74,10499.9,10500.06,1989.23,-1.7,1.03,-243.48,,
59,20.74,20.27,46470,47.79510951,,204,,220.32,,0.56,-3.66,,33.87,20.83,10499.88,10500.07,1986.44,-1.82,1.1,-278.14,,
60,20.83,20.31,46605,47.93240213,,204,,235.97,,0.57,-3.89,,33.85,20.88,10499.86,10500.08,1983.27,-1.94,1.18,-317.45,,
61,20.88,20.35,46740,48.06552124,,204,,249.49,,0.6,-4.11,,33.91,20.95,10499.84,10500.09,1979.73,-2.05,1.25,-353.9,,
62,20.95,20.4,46875,48.20220709,,204,,263.87,,0.61,-4.31,,34.07,21.01,10499.82,10500.11,1975.81,-2.16,1.31,-392.4,,
63,21.01,20.45,47010,48.33912206,,204,,275.62,,0.66,-4.51,,34.13,21.1,10499.8,10500.12,1971.53,-2.26,1.37,-427.58,,
64,21.1,20.5,47145,48.47163558,,204,,291.69,,0.63,-4.69,,34.28,21.13,10499.77,10500.13,1966.81,-2.37,1.44,-472.14,,
65,21.13,20.55,47281,48.60652566,,204,,302.6,,0.67,-4.87,,34.37,21.22,10499.75,10500.15,1961.74,-2.46,1.49,-506.82,,
66,21.22,20.6,47416,48.74140739,,204,,316.73,,0.66,-5.03,,34.51,21.26,10499.72,10500.17,1956.25,-2.56,1.55,-549.06,,
67,21.26,20.65,47551,48.87832212,,204,,325.87,,0.71,-5.19,,34.58,21.36,10499.7,10500.18,1950.44,-2.64,1.6,-580.69,,
68,21.36,20.71,47686,49.01300454,,204,,339.96,,0.69,-5.34,,34.77,21.4,10499.67,10500.2,1944.21,-2.73,1.65,-623.28,,
