,h1,h2,time_arduino,time_python
0,0.0,0.0,0.0,1708083942.114594
1,0.0,0.0,0.0,1708083943.1344256
2,0.0,0.0,0.0,1708083944.1392803
3,0.0,0.0,0.0,1708083945.1594548
4,0.0,0.0,0.0,1708083946.184661
5,0.0,0.0,0.0,1708083947.202558
6,0.0,0.0,0.0,1708083948.2249522
7,0.0,0.0,0.0,1708083949.2325852
8,0.0,0.0,0.0,1708083950.2547314
9,0.0,0.0,0.0,1708083951.2745793
10,0.0,0.0,0.0,1708083952.2850485
11,0.0,0.0,0.0,1708083953.3013003
12,0.0,0.0,0.0,1708083954.3105972
13,0.0,0.0,0.0,1708083955.3340962
14,0.0,0.0,0.0,1708083956.351772
15,0.0,0.0,0.0,1708083957.3756266
16,0.0,0.0,0.0,1708083958.3926833
17,0.0,0.0,0.0,1708083959.4116302
18,0.0,0.0,0.0,1708083960.4340377
19,0.0,0.0,0.0,1708083961.4536402
20,0.0,0.0,0.0,1708083962.464758
21,0.0,0.0,0.0,1708083963.483254
22,0.0,0.0,0.0,1708083964.4917276
23,0.0,0.0,0.0,1708083965.5082917
24,0.0,0.0,0.0,1708083966.5166578
25,0.0,0.0,0.0,1708083967.5386655
26,0.0,0.0,0.0,1708083968.5588052
27,0.0,0.0,0.0,1708083969.5790155
28,0.0,0.0,0.0,1708083970.598888
29,0.0,0.0,0.0,1708083971.6104667
30,0.0,0.0,0.0,1708083972.6273081
31,0.0,0.0,0.0,1708083973.6472065
32,0.0,0.0,0.0,1708083974.669914
33,0.0,0.0,0.0,1708083975.6896544
34,0.0,0.0,0.0,1708083976.7089667
35,0.0,0.0,0.0,1708083977.7145352
36,0.0,0.0,0.0,1708083978.7366803
37,0.0,0.0,0.0,1708083979.7430553
38,0.0,0.0,0.0,1708083980.7503598
39,0.0,0.0,0.0,1708083981.7706566
40,0.0,0.0,0.0,1708083982.791271
41,0.0,0.0,0.0,1708083983.8111346
42,0.0,0.0,0.0,1708083984.8324227
43,0.0,0.0,0.0,1708083985.8558624
44,0.0,0.0,0.0,1708083986.8604357
45,0.0,0.0,0.0,1708083987.8696494
46,0.0,0.0,0.0,1708083988.8891017
