,h1,h2,time_arduino,time_python,state,,,,,,,,,,,,,,,,,,,,
0,0,0,0,1.068561316,0,,,,,,,,,,,,,,,,,,,,
1,0,0,0,2.080523252,0,,,,,,,,,,,,,,,,,,,,
2,0,0,0,3.094379187,0,,,,,,,,,,,,,,,,,,,,
3,0,0,0,4.109922647,0,,,,,,,,,,,,,,,,,,,,
4,0,0,0,5.126826286,0,,,,,,,,,,,,,,,,,,,,
5,0,0,0,6.130470753,0,,,,,,,,,,,,,,,,,,,,
6,0,0,0,7.13429904,0,,,,,,,,,,,,,,,,,,,,
7,0,0,0,8.139133692,0,,,,,,,,,,,,,,,,,,,,
8,0,0,0,9.152924299,0,,,,,,,,,,,,,,,,,,,,
9,0,0,0,10.16781163,0,,,,,,,,,,,,,,,,,,,,
10,0,0,0,11.18320704,0,,,,,,,,,,,,,,,,,,,,
11,0,0,0,12.20057607,0,,,,,,,,,,,,,,,,,,,,
12,0,0,0,13.22494173,0,,,,,,,,,,,,,,,,,,,,
13,0,0,0,14.23586392,0,,,,,,,,,,,,,,,,,,,,
14,0,0,0,15.24679828,0,,,,,,,,,,,,,,,,,,,,
15,0,0,0,16.26038909,0,,,,,,,,,,,,,,,,,,,,
16,0,0,0,17.27788782,0,,,,,,,,,,,,,,,,,,,,
17,0,0,0,18.28698969,0,,,,,,,,,,,,,,,,,,,,
18,0,0,0,19.30535817,0,,,,,,,,,,,,,,,,,,,,
19,0,0,0,20.32560921,0,,,,,,,,,,,,,,,,,,,,
20,0,0,0,21.34497833,0,,,,,,,,,,,,,,,,,,,,
21,0,0,0,22.35335231,0,,,,,,,,,,,,,,,,,,,,
22,0,0,0,23.36325812,0,,,,,,,,,,,,,,,,,,,,
23,0,0,0,24.3728013,0,,,,,,,,,,,,,,,,,,,,
24,0,0,0,25.38223457,0,,,,,,,,,,,,,,,,,,,,
25,0,0,0,26.40389562,0,,,,,,,,,,,,,,,,,,,,
26,0,0,0,27.42884851,0,,,,,,,,,,,,,,,,,,,,
27,0,0,0,28.44785976,0,,,,,,,,,,,,,,,,,,,,
28,0,0,0,29.46462369,0,,,,,,,,,,,,,,,,,,,,
29,0,0,0,30.48595524,0,,,,,,,,,,,,,,,,,,,,
30,0,0,0,31.4947896,0,,,,,,,,,,,,,,,,,,,,
31,0,0,0,32.50078678,0,,,,,,,,,,,,,,,,,,,,
32,0,0,0,33.52514195,0,,,,,,,,,,,,,,,,,,,,
33,0,0,0,34.54685831,0,,,,,,,,,,,,,,,,,,,,
34,0,0,0,35.55523872,0,,,,,,,,,,,,,,,,,,,,
35,0,0,0,36.56777787,0,,,,,,,,,,,,,,,,,,,,
36,0,0,0,37.59022355,0,,,,,,,,,,,,,,,,,,,,
37,0,0,0,38.61026454,0,,,,,,,,,,,,,,,,,,,,
38,0,0,0,39.62351418,0,,,,,,,,,,,,,,,,,,,,
39,0,0,0,40.63823152,0,,,,,,,,,,,,,,,,,,,,
40,0,0,0,41.6516912,0,,,,,,,,,,,,,,,,,,,,
41,0,0,0,42.66948891,0,,,,,,,,,,,,,,,,,,,,
42,0,0,0,43.69331598,0,,,,,,,,,,,,,,,,,,,,
43,0,0,0,44.71432161,0,,,,,,,,,,,,,,,,,,,,
44,0,0,0,45.72313356,0,,,,,,,,,,,,,,,,,,,,
