,h1,h2,time_arduino,time_python,state,,,,,,,,,,,,,,
0,0,0,0,1.068146944,0,,,,,,,,,,,,,,
1,0,0,0,2.084469318,0,,,,,,,,,,,,,,
2,0,0,0,3.106195927,0,,,,,,,,,,,,,,
3,0,0,0,4.126823664,0,,,,,,,,,,,,,,
4,0,0,0,5.145909548,0,,,,,,,,,,,,,,
5,0,0,0,6.168194294,0,,,,,,,,,,,,,,
6,0,0,0,7.17609477,0,,,,,,,,,,,,,,
7,0,0,0,8.196806192,0,,,,,,,,,,,,,,
8,0,0,0,9.220106602,0,,,,,,,,,,,,,,
9,0,0,0,10.23155546,0,,,,,,,,,,,,,,
10,0,0,0,11.24856663,0,,,,,,,,,,,,,,
11,0,0,0,12.2604394,0,,,,,,,,,,,,,,
12,0,0,0,13.27959371,0,,,,,,,,,,,,,,
13,0,0,0,14.29005003,0,,,,,,,,,,,,,,
14,0,0,0,15.2997601,0,,,,,,,,,,,,,,
15,0,0,0,16.30558419,0,,,,,,,,,,,,,,
16,0,0,0,17.31721735,0,,,,,,,,,,,,,,
17,0,0,0,18.33293629,0,,,,,,,,,,,,,,
18,0,0,0,19.34880066,0,,,,,,,,,,,,,,
19,0,0,0,20.35919881,0,,,,,,,,,,,,,,
20,0,0,0,21.36759853,0,,,,,,,,,,,,,,
21,0,0,0,22.37484789,0,,,,,,,,,,,,,,
22,0,0,0,23.38502121,0,,,,,,,,,,,,,,
23,0,0,0,24.39287353,0,,,,,,,,,,,,,,
24,0,0,0,25.41580224,0,,,,,,,,,,,,,,
25,0,0,0,26.42589688,0,,,,,,,,,,,,,,
26,0,0,0,27.43324208,0,,,,,,,,,,,,,,
27,0,0,0,28.44156742,0,,,,,,,,,,,,,,
28,0,0,0,29.45667839,0,,,,,,,,,,,,,,
29,0,0,0,30.46337962,0,,,,,,,,,,,,,,
30,0,0,0,31.47328568,0,,,,,,,,,,,,,,
31,0,0,0,32.47994423,0,,,,,,,,,,,,,,
32,0,0,0,33.49055767,0,,,,,,,,,,,,,,
33,0,0,0,34.51153946,0,,,,,,,,,,,,,,
34,0,0,0,35.51933432,0,,,,,,,,,,,,,,
35,0,0,0,36.52842259,0,,,,,,,,,,,,,,
36,0,0,0,37.53544879,0,,,,,,,,,,,,,,
37,0,0,0,38.55617452,0,,,,,,,,,,,,,,
38,0,0,0,39.56543517,0,,,,,,,,,,,,,,
39,0,0,0,40.57552552,0,,,,,,,,,,,,,,
40,0,0,0,41.58185172,0,,,,,,,,,,,,,,
41,0,0,0,42.5926137,0,,,,,,,,,,,,,,
42,0,0,0,43.59692907,0,,,,,,,,,,,,,,
43,0,0,0,44.607692,0,,,,,,,,,,,,,,
44,0,0,0,45.61513281,0,,,,,,,,,,,,,,
45,0,0,0,46.6381793,0,,,,,,,,,,,,,,
46,0,0,0,47.64745545,0,,,,,,,,,,,,,,
47,0,0,0,48.65948105,0,,,,,,,,,,,,,,
48,0,0,0,49.37600756,0,,,,,,,,,,,,,,
