,h1,h2,time_arduino,time_python,state,,,,,,,,,,,,,
0,0,0,0,1.062247515,0,,,,,,,,,,,,,
1,0,0,0,2.081768274,0,,,,,,,,,,,,,
2,0,0,0,3.10230875,0,,,,,,,,,,,,,
3,0,0,0,4.121491194,0,,,,,,,,,,,,,
4,0,0,0,5.129284382,0,,,,,,,,,,,,,
5,0,0,0,6.146427631,0,,,,,,,,,,,,,
6,0,0,0,7.163492203,0,,,,,,,,,,,,,
7,0,0,0,8.173824549,0,,,,,,,,,,,,,
8,0,0,0,9.195095301,0,,,,,,,,,,,,,
9,0,0,0,10.21636558,0,,,,,,,,,,,,,
10,0,0,0,11.22240686,0,,,,,,,,,,,,,
11,0,0,0,12.23398662,0,,,,,,,,,,,,,
12,0,0,0,13.24904108,0,,,,,,,,,,,,,
13,0,0,0,14.26471734,0,,,,,,,,,,,,,
14,0,0,0,15.28644991,0,,,,,,,,,,,,,
15,0,0,0,16.30513763,0,,,,,,,,,,,,,
16,0,0,0,17.32665014,0,,,,,,,,,,,,,
17,0,0,0,18.34547853,0,,,,,,,,,,,,,
18,0,0,0,19.36013317,0,,,,,,,,,,,,,
19,0,0,0,20.37990761,0,,,,,,,,,,,,,
20,0,0,0,21.38650298,0,,,,,,,,,,,,,
21,0,0,0,22.39178109,0,,,,,,,,,,,,,
22,0,0,0,23.39800668,0,,,,,,,,,,,,,
23,0,0,0,24.41600513,0,,,,,,,,,,,,,
24,0,0,0,25.43445659,0,,,,,,,,,,,,,
25,0,0,0,26.44371033,0,,,,,,,,,,,,,
26,0,0,0,27.46428633,0,,,,,,,,,,,,,
27,0,0,0,28.47802353,0,,,,,,,,,,,,,
28,0,0,0,29.49701142,0,,,,,,,,,,,,,
29,0,0,0,30.5148766,0,,,,,,,,,,,,,
30,0,0,0,31.53417397,0,,,,,,,,,,,,,
31,0,0,0,32.55174804,0,,,,,,,,,,,,,
32,0,0,0,33.56898618,0,,,,,,,,,,,,,
33,0,0,0,34.57415915,0,,,,,,,,,,,,,
34,0,0,0,35.59244466,0,,,,,,,,,,,,,
35,0,0,0,36.60983181,0,,,,,,,,,,,,,
36,0,0,0,37.63107276,0,,,,,,,,,,,,,
37,0,0,0,38.65345621,0,,,,,,,,,,,,,
38,0,0,0,39.67364311,0,,,,,,,,,,,,,
39,0,0,0,40.69259667,0,,,,,,,,,,,,,
40,0,0,0,41.71198511,0,,,,,,,,,,,,,
41,0,0,0,42.73325324,0,,,,,,,,,,,,,
42,0,0,0,43.75469804,0,,,,,,,,,,,,,
43,0,0,0,44.76787877,0,,,,,,,,,,,,,
