val,h1,h2,time_arduino,time_python
0,0.0,0.0,0.0,1708080525.828698
1,0.0,0.0,0.0,1708080526.8309994
2,0.0,0.0,0.0,1708080527.8394651
3,0.0,0.0,0.0,1708080528.8470376
4,0.0,0.0,0.0,1708080529.8642106
5,0.0,0.0,0.0,1708080530.8704515
6,0.0,0.0,0.0,1708080531.8763962
7,0.0,0.0,0.0,1708080532.8819013
8,0.0,0.0,0.0,1708080533.88326
9,0.0,0.0,0.0,1708080534.8996027
10,0.0,0.0,0.0,1708080535.901932
11,0.0,0.0,0.0,1708080536.9085302
12,0.0,0.0,0.0,1708080537.9206538
13,0.0,0.0,0.0,1708080538.940793
14,0.0,0.0,0.0,1708080539.9553473
15,0.0,0.0,0.0,1708080540.9793646
16,0.0,0.0,0.0,1708080541.988013
17,0.0,0.0,0.0,1708080543.0046384
18,0.0,0.0,0.0,1708080544.0252268
19,0.0,0.0,0.0,1708080545.043694
20,0.0,0.0,0.0,1708080546.0625305
21,0.0,0.0,0.0,1708080547.0801017
22,0.0,0.0,0.0,1708080548.088961
23,0.0,0.0,0.0,1708080549.1103182
24,0.0,0.0,0.0,1708080550.1288102
25,0.0,0.0,0.0,1708080551.1388466
26,0.0,0.0,0.0,1708080552.15981
27,0.0,0.0,0.0,1708080553.1733656
28,0.0,0.0,0.0,1708080554.1795597
29,0.0,0.0,0.0,1708080555.1935985
30,0.0,0.0,0.0,1708080556.2088668
31,0.0,0.0,0.0,1708080557.229362
32,0.0,0.0,0.0,1708080558.2500975
33,0.0,0.0,0.0,1708080559.257629
34,0.0,0.0,0.0,1708080560.2776988
35,0.0,0.0,0.0,1708080561.2955284
36,0.0,0.0,0.0,1708080562.3186958
37,0.0,0.0,0.0,1708080563.3356836
38,0.0,0.0,0.0,1708080564.3567748
39,0.0,0.0,0.0,1708080565.3765738
40,0.0,0.0,0.0,1708080566.3941245
41,0.0,0.0,0.0,1708080567.402111
42,0.0,0.0,0.0,1708080568.4219675
43,0.0,0.0,0.0,1708080569.445907
44,0.0,0.0,0.0,1708080570.4549797
45,0.0,0.0,0.0,1708080571.4725118
46,0.0,0.0,0.0,1708080572.4830034
47,0.0,0.0,0.0,1708080573.498933
48,0.0,0.0,0.0,1708080574.5218985
49,0.0,0.0,0.0,1708080575.5404453
50,0.0,0.0,0.0,1708080576.561919
51,0.0,0.0,0.0,1708080577.5720913
52,0.0,0.0,0.0,1708080578.5919971
53,0.0,0.0,0.0,1708080579.6109688
54,0.0,0.0,0.0,1708080580.6350367
55,0.0,0.0,0.0,1708080581.6513093
56,0.0,0.0,0.0,1708080582.6625988
57,0.0,0.0,0.0,1708080583.6825268
58,0.0,0.0,0.0,1708080584.7031605
59,0.0,0.0,0.0,1708080585.7151701
60,0.0,0.0,0.0,1708080586.7379897
61,0.0,0.0,0.0,1708080587.7549016
62,0.0,0.0,0.0,1708080588.7724383
63,0.0,0.0,0.0,1708080589.794454
64,0.0,0.0,0.0,1708080590.8156629
65,0.0,0.0,0.0,1708080591.839681
66,0.0,0.0,0.0,1708080592.8580139
67,0.0,0.0,0.0,1708080593.8785021
68,0.0,0.0,0.0,1708080594.8898873
69,0.0,0.0,0.0,1708080595.907692
70,0.0,0.0,0.0,1708080596.9293814
71,0.0,0.0,0.0,1708080597.949159
72,0.0,0.0,0.0,1708080598.5819304
73,61.47,30.06,72754.0,1708080598.69143
74,61.55,30.09,72846.0,1708080598.7795215
75,61.62,30.13,72937.0,1708080598.8698244
76,61.69,30.17,73028.0,1708080598.960762
77,61.79,30.21,73119.0,1708080599.050885
78,61.91,30.23,73210.0,1708080599.1429088
79,61.87,30.24,73303.0,1708080599.2352884
80,61.69,30.3,73394.0,1708080599.3263001
81,61.51,30.34,73485.0,1708080599.4143836
82,61.42,30.38,73576.0,1708080599.5086956
83,61.39,30.41,73667.0,1708080599.6027927
84,61.29,30.46,73759.0,1708080599.6878684
85,61.14,30.5,73850.0,1708080599.7829983
86,61.03,30.52,73942.0,1708080599.8762891
87,61.0,30.58,74033.0,1708080599.9633121
88,60.94,30.61,74124.0,1708080600.053447
89,60.81,30.62,74216.0,1708080600.1484692
90,60.66,30.67,74307.0,1708080600.2376034
91,60.56,30.74,74398.0,1708080600.3278074
92,60.57,30.77,74489.0,1708080600.4230318
93,60.67,30.81,74582.0,1708080600.513794
94,60.72,30.83,74673.0,1708080600.6039784
95,60.69,30.86,74764.0,1708080600.6964269
96,60.67,30.92,74855.0,1708080600.7863312
97,60.76,30.94,74946.0,1708080600.8766518
98,60.85,30.99,75038.0,1708080600.9687762
99,60.83,31.04,75129.0,1708080601.0615377
100,60.85,31.07,75220.0,1708080601.1510246
101,60.99,31.1,75312.0,1708080601.245371
102,61.1,31.12,75403.0,1708080601.3354023
103,61.13,31.17,75495.0,1708080601.4265203
104,61.17,31.22,75586.0,1708080601.5161295
105,61.32,31.26,75677.0,1708080601.609769
106,61.42,31.26,75768.0,1708080601.703889
107,61.14,31.3,75859.0,1708080601.7930205
108,60.97,31.36,75952.0,1708080601.885236
109,60.9,31.42,76043.0,1708080601.9747221
110,60.89,31.43,76134.0,1708080602.0705914
111,60.79,31.47,76225.0,1708080602.1545172
112,60.6,31.53,76316.0,1708080602.2517655
113,60.47,31.54,76408.0,1708080602.3417811
114,60.45,31.57,76499.0,1708080602.4308875
115,60.37,31.62,76591.0,1708080602.523076
116,60.25,31.65,76682.0,1708080602.6141908
117,60.18,31.68,76774.0,1708080602.704388
118,60.18,31.73,76865.0,1708080602.799982
119,60.22,31.77,76956.0,1708080602.8876128
120,60.25,31.8,77047.0,1708080602.9777002
121,60.31,31.85,77138.0,1708080603.0729961
122,60.4,31.91,77231.0,1708080603.1620002
123,60.5,31.91,77322.0,1708080603.2522476
124,60.43,31.93,77413.0,1708080603.342249
125,60.24,31.99,77504.0,1708080603.4374943
126,60.05,32.03,77595.0,1708080603.5286171
127,60.01,32.06,77687.0,1708080603.6167197
128,60.0,32.09,77778.0,1708080603.711391
129,59.88,32.15,77870.0,1708080603.8031044
130,59.71,32.16,77961.0,1708080603.894123
131,59.58,32.18,78052.0,1708080603.986222
132,59.51,32.26,78144.0,1708080604.0762386
133,59.48,32.29,78235.0,1708080604.1695056
134,59.38,32.31,78326.0,1708080604.259735
135,59.23,32.36,78417.0,1708080604.3517272
136,59.17,32.4,78510.0,1708080604.4399836
137,59.19,32.42,78601.0,1708080604.5339108
138,59.25,32.47,78692.0,1708080604.6250572
139,59.35,32.51,78783.0,1708080604.7153559
140,59.43,32.54,78874.0,1708080604.8047743
141,59.48,32.58,78966.0,1708080604.8986037
142,59.53,32.61,79057.0,1708080604.988754
143,59.52,32.64,79149.0,1708080605.084743
144,59.38,32.68,79240.0,1708080605.1741312
145,59.19,32.73,79331.0,1708080605.2636886
146,59.1,32.77,79423.0,1708080605.3545656
147,59.07,32.81,79514.0,1708080605.449615
148,58.99,32.85,79605.0,1708080605.5384898
149,58.83,32.89,79696.0,1708080605.6310136
150,58.7,32.91,79789.0,1708080605.7198446
151,58.64,32.93,79880.0,1708080605.8119915
152,58.57,32.99,79971.0,1708080605.9072168
153,58.47,33.02,80062.0,1708080605.992151
154,58.38,33.06,80153.0,1708080606.0874648
155,58.32,33.09,80245.0,1708080606.1792803
156,58.28,33.13,80336.0,1708080606.268528
157,58.39,33.17,80428.0,1708080606.361397
158,58.51,33.19,80519.0,1708080606.450959
159,58.57,33.25,80610.0,1708080606.54104
160,58.56,33.27,80702.0,1708080606.6352098
161,58.53,33.29,80793.0,1708080606.7253325
162,58.52,33.35,80884.0,1708080606.818498
