,h2_input,xm,time_arduino,time_python,,volt,,law,,e,,h1,h2,xm,xm_dot,theta1,theta2,theta3,filter1,filter1_dot,filter2,filter2_dot,filter3,filter3_dot,ola (x1000)
35,15.1,15,34170,34.83846307,,0,,0.4,,0.14,state: ,24.71,15.14,0,2,200000,60000,150000,0,2,0,3.8,0,0.04,
36,15.14,15.2,34343,35.01791382,,0,,0.37,,0.01,state: ,24.98,15.21,0.2,3.2,200000,60000,150000,0.2,3.2,0.38,6.16,0,0.08,
37,15.21,15.52,34516,35.18902397,,0,,0.37,,-0.21,state: ,24.82,15.31,0.52,3.84,200000,60000,150000,0.52,3.84,1,7.54,0.01,0.13,
38,15.31,15.9,34691,35.3622582,,0,,0.37,,-0.52,state: ,24.46,15.39,0.9,4.1,200000.1,59999.79,150000,0.9,4.1,1.75,8.05,0.02,0.19,
39,15.39,16.31,34865,35.53882885,,0,,0.37,,-0.83,state: ,24.22,15.48,1.31,4.1,200000.57,59998.89,149999.98,1.31,4.1,2.56,7.91,0.04,0.26,
40,15.48,16.72,35039,35.71294689,,0,,0.37,,-1.18,state: ,24.05,15.55,1.72,3.93,200001.67,59996.76,149999.95,1.72,3.93,3.35,7.41,0.07,0.33,
41,15.55,17.12,35213,35.88613439,,0,,0.37,,-1.49,state: ,23.93,15.62,2.12,3.67,200003.7,59992.83,149999.87,2.12,3.67,4.09,6.73,0.1,0.39,
42,15.62,17.48,35387,36.06083512,,0,,0.37,,-1.8,state: ,23.76,15.68,2.48,3.36,200006.85,59986.72,149999.71,2.48,3.36,4.76,5.98,0.14,0.44,
43,15.68,17.82,35561,36.23179674,,0,,0.37,,-2.06,state: ,23.6,15.76,2.82,3.02,200011.35,59978.13,149999.46,2.82,3.02,5.36,5.18,0.19,0.48,
44,15.76,18.12,35735,36.40780783,,0,,0.37,,-2.28,state: ,23.45,15.84,3.12,2.68,200017.15,59967.11,149999.07,3.12,2.68,5.88,4.41,0.23,0.52,
45,15.84,18.39,35909,36.58117795,,0,,0.36,,-2.45,state: ,23.37,15.93,3.39,2.36,200024.26,59953.73,149998.54,3.39,2.36,6.32,3.67,0.29,0.55,
46,15.93,18.63,36084,36.75539899,,0,,0.35,,-2.6,state: ,23.21,16.02,3.63,2.06,200032.57,59938.23,149997.84,3.63,2.06,6.68,3.02,0.34,0.59,
47,16.02,18.83,36258,36.92707777,,0,,0.35,,-2.74,state: ,23.06,16.09,3.83,1.79,200042,59920.83,149996.96,3.83,1.79,6.99,2.42,0.4,0.63,
48,16.09,19.01,36432,37.10313201,,0,,0.35,,-2.84,state: ,22.93,16.17,4.01,1.54,200052.5,59901.69,149995.85,4.01,1.54,7.23,1.89,0.46,0.65,
49,16.17,19.16,36606,37.27614617,,0,,0.34,,-2.9,state: ,22.87,16.27,4.16,1.32,200063.89,59881.18,149994.54,4.16,1.32,7.42,1.41,0.53,0.68,
50,16.27,19.3,36781,37.4515276,,0,,0.34,,-2.95,state: ,22.72,16.35,4.3,1.13,200075.93,59859.7,149993.03,4.3,1.13,7.56,1.03,0.6,0.7,
51,16.35,19.41,36955,37.62387323,,0,,0.34,,-3,state: ,22.57,16.41,4.41,0.96,200088.62,59837.4,149991.26,4.41,0.96,7.66,0.68,0.67,0.72,
52,16.41,19.5,37129,37.79951501,,0,,0.33,,-2.99,state: ,22.45,16.51,4.5,0.81,200101.85,59814.41,149989.26,4.5,0.81,7.73,0.37,0.74,0.73,
53,16.51,19.59,37303,37.97243595,,0,,0.33,,-3.02,state: ,22.27,16.56,4.59,0.68,200115.34,59791.27,149987.06,4.59,0.68,7.77,0.11,0.81,0.75,
54,16.56,19.65,37477,38.1482954,,0,,0.33,,-3.02,state: ,22.11,16.63,4.65,0.58,200129.21,59767.78,149984.6,4.65,0.58,7.78,-0.13,0.89,0.75,
55,16.63,19.71,37652,38.32461476,,0,,0.33,,-3,state: ,21.96,16.72,4.71,0.48,200143.28,59744.28,149981.92,4.71,0.48,7.77,-0.35,0.96,0.75,
56,16.72,19.76,37827,38.50064135,,0,,0.32,,-2.94,state: ,21.8,16.82,4.76,0.41,200157.39,59721.01,149979.03,4.76,0.41,7.73,-0.53,1.04,0.75,
57,16.82,19.8,38002,38.67178035,,0,,0.32,,-2.91,state: ,21.65,16.89,4.8,0.34,200171.39,59698.28,149975.98,4.8,0.34,7.68,-0.69,1.11,0.76,
58,16.89,19.83,38177,38.84789324,,0,,0.32,,-2.88,state: ,21.49,16.96,4.83,0.28,200185.37,59675.9,149972.75,4.83,0.28,7.61,-0.83,1.19,0.77,
59,16.96,19.86,38352,39.02434683,,0,,0.32,,-2.82,state: ,21.31,17.04,4.86,0.24,200199.28,59654.02,149969.32,4.86,0.24,7.53,-0.94,1.26,0.77,
60,17.04,19.89,38528,39.20037055,,0,,0.31,,-2.75,state: ,21.18,17.13,4.89,0.2,200213,59632.8,149965.76,4.89,0.2,7.43,-1.05,1.34,0.77,
61,17.13,19.91,38703,39.37735939,,0,,0.31,,-2.7,state: ,21.02,17.21,4.91,0.16,200226.45,59612.34,149962.06,4.91,0.16,7.33,-1.13,1.42,0.78,
62,17.21,19.92,38878,39.54930067,,0,,0.31,,-2.63,state: ,20.85,17.3,4.92,0.14,200239.68,59592.59,149958.23,4.92,0.14,7.21,-1.2,1.5,0.79,
63,17.3,19.94,39053,39.72684574,,0,,0.3,,-2.55,state: ,20.7,17.38,4.94,0.11,200252.6,59573.65,149954.31,4.94,0.11,7.09,-1.27,1.58,0.79,
64,17.38,19.95,39228,39.90036941,,0,,0.3,,-2.48,state: ,20.53,17.47,4.95,0.09,200265.21,59555.55,149950.29,4.95,0.09,6.97,-1.32,1.65,0.8,
65,17.47,19.96,39403,40.07638693,,0,,0.31,,-2.45,state: ,20.38,17.5,4.96,0.08,200277.48,59538.28,149946.2,4.96,0.08,6.84,-1.36,1.73,0.8,
66,17.5,19.96,39578,40.24854469,,0,,0.31,,-2.39,state: ,20.22,17.57,4.96,0.06,200289.64,59521.51,149941.93,4.96,0.06,6.7,-1.4,1.81,0.79,
67,17.57,19.97,39753,40.42519903,,0,,0.3,,-2.32,state: ,20.14,17.65,4.97,0.05,200301.53,59505.48,149937.59,4.97,0.05,6.56,-1.43,1.89,0.78,
68,17.65,19.98,39928,40.60293818,,0,,0.29,,-2.24,state: ,19.98,17.74,4.98,0.04,200313.04,59490.27,149933.2,4.98,0.04,6.42,-1.43,1.97,0.77,
69,17.74,19.98,40103,40.77903748,,0,,0.29,,-2.15,state: ,19.82,17.83,4.98,0.04,200324.18,59475.91,149928.78,4.98,0.04,6.27,-1.43,2.05,0.77,
70,17.83,19.98,40280,40.95087957,,0,,0.29,,-2.07,state: ,19.66,17.92,4.98,0.03,200334.92,59462.4,149924.37,4.98,0.03,6.13,-1.44,2.13,0.77,
71,17.92,19.99,40455,41.12622643,,0,,0.29,,-2,state: ,19.51,17.98,4.99,0.02,200345.21,59449.73,149919.98,4.99,0.02,5.99,-1.45,2.2,0.78,
72,17.98,19.99,40630,41.30180311,,0,,0.29,,-1.92,state: ,19.32,18.07,4.99,0.02,200355.2,59437.73,149915.57,4.99,0.02,5.84,-1.46,2.28,0.78,
73,18.07,19.99,40805,41.47865796,,0,,0.28,,-1.85,state: ,19.17,18.14,4.99,0.02,200364.79,59426.51,149911.18,4.99,0.02,5.69,-1.49,2.36,0.78,
74,18.14,19.99,40980,41.65359473,,0,,0.28,,-1.77,state: ,19.02,18.22,4.99,0.01,200374.01,59415.99,149906.84,4.99,0.01,5.55,-1.5,2.44,0.78,
75,18.22,19.99,41155,41.8266418,,0,,0.27,,-1.67,state: ,18.87,18.32,4.99,0.01,200382.84,59406.17,149902.53,4.99,0.01,5.4,-1.51,2.51,0.78,
76,18.32,20,41330,42.00376225,,0,,0.27,,-1.61,state: ,18.71,18.38,5,0.01,200391.2,59397.14,149898.31,5,0.01,5.24,-1.52,2.59,0.79,
77,18.38,20,41505,42.17950392,,0,,0.27,,-1.52,state: ,18.55,18.47,5,0.01,200399.26,59388.69,149894.14,5,0.01,5.09,-1.52,2.67,0.79,
78,18.47,20,41680,42.3538816,,0,,0.28,,-1.5,state: ,18.39,18.5,5,0.01,200406.87,59380.92,149890.06,5,0.01,4.94,-1.53,2.75,0.79,
79,18.5,20,41856,42.52710938,,0,,0.27,,-1.41,state: ,18.24,18.58,5,0,200414.35,59373.52,149885.93,5,0,4.79,-1.54,2.83,0.78,
80,18.58,20,42031,42.70399475,,0,,0.27,,-1.32,state: ,18.07,18.67,5,0,200421.42,59366.76,149881.93,5,0,4.63,-1.54,2.91,0.77,
81,18.67,20,42206,42.87800169,,0,,0.27,,-1.25,state: ,17.93,18.75,5,0,200428.04,59360.62,149878.09,5,0,4.48,-1.55,2.99,0.77,
82,18.75,20,42381,43.05741215,,0,,0.26,,-1.17,state: ,17.76,18.83,5,0,200434.28,59355.03,149874.37,5,0,4.33,-1.55,3.06,0.77,
83,18.83,20,42556,43.23332715,,0,,0.26,,-1.1,state: ,17.59,18.9,5,0,200440.1,59349.98,149870.79,5,0,4.17,-1.56,3.14,0.77,
84,18.9,20,42731,43.40209675,,0,,0.26,,-1.01,state: ,17.44,18.99,5,0,200445.62,59345.38,149867.34,5,0,4.01,-1.56,3.22,0.76,
85,18.99,20,42906,43.57945943,,0,,0.26,,-0.93,state: ,17.29,19.07,5,0,200450.65,59341.33,149864.1,5,0,3.86,-1.57,3.29,0.77,
86,19.07,20,43081,43.75523663,,0,,0.26,,-0.86,state: ,17.12,19.14,5,0,200455.31,59337.74,149861.03,5,0,3.7,-1.57,3.37,0.77,
87,19.14,20,43256,43.93257761,,0,,0.25,,-0.77,state: ,16.98,19.23,5,0,200459.62,59334.55,149858.14,5,0,3.54,-1.57,3.45,0.77,
